SR                     obs     bkg   bkg_err  S95_obs  S95_exp  
SR3l_Low               53      49    14       30       28       
SR3l_ISR               25      17    4        20       13       
SR_WZ_01               331     314   33       83       71       
SR_WZ_02               31      35    6        14       16       
SR_WZ_03               3       4.1   1.0      4.7      5.6      
SR_WZ_04               2       1.2   0.5      4.8      3.8      
SR_WZ_05               42      58    5        10       18       
SR_WZ_06               7       8.0   0.9      6.4      7.3      
SR_WZ_07               3       5.8   1.0      4.3      6.2      
SR_WZ_08               1       0.8   0.4      3.7      3.2      
SR_WZ_09               77      90    19       27       33       
SR_WZ_10               11      13.4  2.4      7.9      9.5      
SR_WZ_11               0.0001  0.5   0.4      3.0      2.9      
SR_WZ_12               0.0001  0.49  0.24     2.99     2.92     
SR_WZ_13               111     89    11       49       30       
SR_WZ_14               19      16.0  1.4      12.4     9.6      
SR_WZ_15               5       2.8   0.6      7.6      5.2      
SR_WZ_16               1       1.3   0.28     3.5      4.0      
SR_WZ_17               13      14    6        12       12       
SR_WZ_18               9       9.2   3.5      9.0      9.3      
SR_WZ_19               3       2.3   0.9      5.6      5.1      
SR_WZ_20               1       1.1   0.5      3.5      3.8      
SR_Wh_SFOS_01          152     136   13       47       36       
SR_Wh_SFOS_02          14      13.5  1.7      9.5      9.4      
SR_Wh_SFOS_03          8       4.3   0.9      10.0     6.4      
SR_Wh_SFOS_04          47      50    5        16       18       
SR_Wh_SFOS_05          6       4.3   0.7      7.3      6.0      
SR_Wh_SFOS_06          15      20.2  2.1      7.7      10.8     
SR_Wh_SFOS_07          19      16.0  2.1      12.7     10.5     
SR_Wh_SFOS_08          113     108   13       35       33       
SR_Wh_SFOS_09          184     180   17       44       43       
SR_Wh_SFOS_10          28      31    4        12       14       
SR_Wh_SFOS_11          5       6.6   0.9      5.5      6.6      
SR_Wh_SFOS_12          82      90    11       22       27       
SR_Wh_SFOS_13          16      18.7  2.6      9.1      10.9     
SR_Wh_SFOS_14          4       2.5   0.7      6.5      5.1      
SR_Wh_SFOS_15          51      46    7        24       20       
SR_Wh_SFOS_16          5       9.8   1.6      4.7      7.8      
SR_Wh_SFOS_17          37      43    7        14       18       
SR_Wh_SFOS_18          7       12.6  1.7      5.1      8.7      
SR_Wh_SFOS_19          4       1.8   0.4      7.0      4.3      
SR_Wh_DFOS_01          10      4.5   0.8      12.1     6.2      
SR_Wh_DFOS_02          10      7.0   2.3      10.7     8.5      
SR_WZoff_low_0jb       25      32    4        10       13       
SR_WZoff_low_0jc       42      44    4        14       16       
SR_WZoff_low_0jd       77      54    4        40       18       
SR_WZoff_low_0je       101     91    6        31       23       
SR_WZoff_low_0jf1      33      32.2  2.5      13.9     13.2     
SR_WZoff_low_0jf2      7       5.9   1.1      7.9      6.6      
SR_WZoff_low_0jg1      34      34.7  2.8      13.4     14.1     
SR_WZoff_low_0jg2      9       6.3   1.1      9.2      6.9      
SR_WZoff_low_njb       6       3.5   0.6      8.1      5.5      
SR_WZoff_low_njc       13      8.0   1.2      12.7     7.6      
SR_WZoff_low_njd       17      13.5  1.5      12.1     9.4      
SR_WZoff_low_nje       14      18.2  3.4      8.1      11.2     
SR_WZoff_low_njf1      25      23.4  2.5      13.3     12.1     
SR_WZoff_low_njf2      20      17.9  1.9      12.1     10.4     
SR_WZoff_low_njg1      22      17.0  3.5      16.1     12.3     
SR_WZoff_low_njg2      12      12.4  1.9      8.5      9.1      
SR_WZoff_high_0jb      1       1.5   0.7      3.6      4.1      
SR_WZoff_high_0jc      4       4.3   0.8      5.7      5.9      
SR_WZoff_high_0jd      11      14.0  1.6      7.0      9.2      
SR_WZoff_high_0je      13      11.5  1.6      9.9      8.6      
SR_WZoff_high_0jf1     37      35.7  3.2      15.3     14.3     
SR_WZoff_high_0jf2     14      25.5  2.4      5.8      11.8     
SR_WZoff_high_0jg1     43      39.5  3.0      17.9     15.1     
SR_WZoff_high_0jg2     17      21    7        12       14       
SR_WZoff_high_nja      3       6.0   1.6      4.4      6.4      
SR_WZoff_high_njb      2       1.4   0.6      4.6      4.1      
SR_WZoff_high_njc      2       2.1   0.8      4.6      4.7      
SR_WZoff_high_njd      2       5.4   1.4      3.8      6.0      
SR_WZoff_high_nje      2       3.0   1.1      4.2      5.2      
SR_WZoff_high_njf      11      9.9   2.5      9.9      8.9      
SR_WZoff_high_njg      4       6.8   1.8      4.9      6.9      
SR_incWZ_01            34      38    5        13       16       
SR_incWZ_02            2       1.2   0.5      4.7      3.8      
SR_incWZ_03            4       6.5   1.1      4.8      6.6      
SR_incWZ_04            25      31    6        11       16       
SR_incWZ_05            1       5.2   1.1      3.2      5.8      
SR_incWZ_06            23      16    2        17       10       
SR_incWh_SFOS_07       174     150   14       57       38       
SR_incWh_SFOS_08       53      55    5        17       19       
SR_incWh_SFOS_09       34      36    4        14       15       
SR_incWh_SFOS_10       56      55    7        21       21       
SR_incWh_SFOS_11       41      45    6        15       17       
SR_incWh_DFOS_12       18      11    3        17       11       
