SR            obs   bkg   bkg_err  S95_obs  S95_exp  
CMS510_550    1021  1032  48       101      111      
CMS550_590    694   683   37       93       88       
CMS590_640    554   554   28       72       72       
CMS640_690    339   322   19       63       52       
CMS690_740    196   178   13       53       38       
CMS740_790    123   122   8        28       27       
CMS790_840    80    74.5  6.6      25.9     23.1     
CMS840_900    68    77.8  7.2      16.2     22.2     
CMS900_960    37    38.4  4.8      14.7     15.8     
CMS960_1020   23    25.1  3.4      11.3     12.5     
CMS1020_1090  12    21.1  3        6.1      11.0     
CMS1090_1160  7     9.4   1.9      6.5      7.7      
CMS1160       26    22.6  3        14.8     12.7     
CMSV250_300   3395  3220  130      402      275      
CMSV300_350   2162  2050  88       280      192      
CMSV350_400   1093  1048  51       151      115      
CMSV400_500   780   775   40       96       93       
CMSV500_600   207   193   14       50       40       
CMSV600_750   90    84.2  6.9      27.4     23.7     
CMSV750       27    24.8  3.1      14.4     12.4     
